"Tarih","Saat","Tüketim Miktarý (MWh)"
"15.06.2020","00:00","28.407,29"
"15.06.2020","01:00","26.899,36"
"15.06.2020","02:00","25.893,43"
"15.06.2020","03:00","25.304,63"
"15.06.2020","04:00","25.196,80"
"15.06.2020","05:00","24.354,99"
"15.06.2020","06:00","24.472,24"
"15.06.2020","07:00","26.222,98"
"15.06.2020","08:00","30.582,05"
"15.06.2020","09:00","32.615,24"
"15.06.2020","10:00","33.406,78"
"15.06.2020","11:00","34.369,15"
"15.06.2020","12:00","33.179,66"
"15.06.2020","13:00","34.536,20"
"15.06.2020","14:00","35.379,39"
"15.06.2020","15:00","35.486,25"
"15.06.2020","16:00","35.891,20"
"15.06.2020","17:00","35.803,20"
"15.06.2020","18:00","34.970,00"
"15.06.2020","19:00","34.668,46"
"15.06.2020","20:00","35.622,03"
"15.06.2020","21:00","35.568,00"
"15.06.2020","22:00","34.579,66"
"15.06.2020","23:00","33.194,24"
"16.06.2020","00:00","31.330,88"
"16.06.2020","01:00","29.788,03"
"16.06.2020","02:00","28.709,54"
"16.06.2020","03:00","27.800,16"
"16.06.2020","04:00","27.609,61"
"16.06.2020","05:00","26.669,57"
"16.06.2020","06:00","26.470,23"
"16.06.2020","07:00","27.570,22"
"16.06.2020","08:00","31.387,32"
"16.06.2020","09:00","33.468,29"
"16.06.2020","10:00","33.990,50"
"16.06.2020","11:00","34.528,35"
"16.06.2020","12:00","33.244,74"
"16.06.2020","13:00","34.523,73"
"16.06.2020","14:00","35.714,60"
"16.06.2020","15:00","35.902,51"
"16.06.2020","16:00","36.026,78"
"16.06.2020","17:00","36.205,06"
"16.06.2020","18:00","35.418,32"
"16.06.2020","19:00","35.146,75"
"16.06.2020","20:00","36.089,52"
"16.06.2020","21:00","36.247,29"
"16.06.2020","22:00","35.313,08"
"16.06.2020","23:00","33.886,22"
"17.06.2020","00:00","32.045,92"
"17.06.2020","01:00","30.532,10"
"17.06.2020","02:00","29.286,64"
"17.06.2020","03:00","28.374,32"
"17.06.2020","04:00","28.029,70"
"17.06.2020","05:00","26.918,95"
"17.06.2020","06:00","26.860,97"
"17.06.2020","07:00","28.199,37"
"17.06.2020","08:00","32.033,52"
"17.06.2020","09:00","33.930,15"
"17.06.2020","10:00","34.704,13"
"17.06.2020","11:00","35.683,59"
"17.06.2020","12:00","34.651,86"
"17.06.2020","13:00","35.405,34"
"17.06.2020","14:00","36.749,86"
"17.06.2020","15:00","36.736,72"
"17.06.2020","16:00","36.842,53"
"17.06.2020","17:00","36.510,51"
"17.06.2020","18:00","35.618,66"
"17.06.2020","19:00","35.294,27"
"17.06.2020","20:00","36.357,66"
"17.06.2020","21:00","36.368,58"
"17.06.2020","22:00","35.331,31"
"17.06.2020","23:00","33.968,65"
"18.06.2020","00:00","32.100,95"
"18.06.2020","01:00","30.606,60"
"18.06.2020","02:00","29.345,95"
"18.06.2020","03:00","28.544,32"
"18.06.2020","04:00","28.274,64"
"18.06.2020","05:00","27.298,80"
"18.06.2020","06:00","27.284,00"
